INSTNM,CITY,STATE,ZIP,ACCREDAGENCY,Modified_PEP_ROI,Original_PEP_ROI,PCTPELL,MSI_TYPE
Alabama A & M University,Normal,AL,35762,Southern Association of Colleges and Schools Commission on Colleges,0.06132358830596716,16.306938775510204,0.6536,HBCU
University of Alabama at Birmingham,Birmingham,AL,35294-0110,Southern Association of Colleges and Schools Commission on Colleges,0.2473142345568487,4.043438914027149,0.3308,Non-MSI
Amridge University,Montgomery,AL,36117-3553,Southern Association of Colleges and Schools Commission on Colleges,,,0.7769,Non-MSI
University of Alabama in Huntsville,Huntsville,AL,35899,Southern Association of Colleges and Schools Commission on Colleges,0.27652138157894735,3.6163568773234203,0.2173,Non-MSI
Alabama State University,Montgomery,AL,36104-0271,Southern Association of Colleges and Schools Commission on Colleges,-0.022639905374436314,-44.16979591836734,0.6976,HBCU
The University of Alabama,Tuscaloosa,AL,35487-0100,Southern Association of Colleges and Schools Commission on Colleges,0.2366789544235925,4.225132743362832,0.1788,Non-MSI
Central Alabama Community College,Alexander City,AL,35010,Southern Association of Colleges and Schools Commission on Colleges,0.017472954904582474,57.23130434782608,0.2985,Non-MSI
Athens State University,Athens,AL,35611,Southern Association of Colleges and Schools Commission on Colleges,,,0.4127,Non-MSI
Auburn University at Montgomery,Montgomery,AL,36117-3596,Southern Association of Colleges and Schools Commission on Colleges,0.12222882026920032,8.181376518218624,0.4589,PBI
Auburn University,Auburn,AL,36849,Southern Association of Colleges and Schools Commission on Colleges,0.2518315018315018,3.970909090909091,0.1254,Non-MSI
Birmingham-Southern College,Birmingham,AL,35254,Southern Association of Colleges and Schools Commission on Colleges,0.269672463621153,3.7082021151586364,0.2268,Non-MSI
Chattahoochee Valley Community College,Phenix City,AL,36869,Southern Association of Colleges and Schools Commission on Colleges,-0.03705533596837945,-26.986666666666665,0.4801,PBI
South University-Montgomery,Montgomery,AL,36116,Southern Association of Colleges and Schools Commission on Colleges,0.07699025556168414,12.98865671641791,0.6422,Non-MSI
Enterprise State Community College,Enterprise,AL,36330-1300,Southern Association of Colleges and Schools Commission on Colleges,0.814728798321846,1.2274022988505746,0.4131,Non-MSI
Coastal Alabama Community College,Bay Minette,AL,36507-2698,Southern Association of Colleges and Schools Commission on Colleges,0.0710032849712565,14.083855421686746,0.337,Non-MSI
Faulkner University,Montgomery,AL,36109-3390,Southern Association of Colleges and Schools Commission on Colleges,0.1139105657665058,8.778816901408451,0.461,PBI
Gadsden State Community College,Gadsden,AL,35903,Southern Association of Colleges and Schools Commission on Colleges,-0.10363520408163265,-9.649230769230769,0.4615,HBCU
New Beginning College of Cosmetology,Albertville,AL,35951,National Accrediting Commission of Career Arts and Sciences,-0.5933957338902148,-1.6852160251374704,0.2368,Non-MSI
George C Wallace Community College-Dothan,Dothan,AL,36303-9234,Southern Association of Colleges and Schools Commission on Colleges,-0.3390823844608171,-2.949135802469136,0.4755,Non-MSI
George C Wallace State Community College-Hanceville,Hanceville,AL,35077-2000,Southern Association of Colleges and Schools Commission on Colleges,0.06779236168079482,14.7509243697479,0.3966,Non-MSI
George C Wallace State Community College-Selma,Selma,AL,36702-2808,Southern Association of Colleges and Schools Commission on Colleges,-0.7150758533501896,-1.398453038674033,0.4106,PBI
Herzing University-Birmingham,Birmingham,AL,35209,Higher Learning Commission,0.11486486486486487,8.705882352941176,0.6398,Non-MSI
Huntingdon College,Montgomery,AL,36106-2148,Southern Association of Colleges and Schools Commission on Colleges,0.12468233799237612,8.020382165605096,0.3921,Non-MSI
Heritage Christian University,Florence,AL,35630-9977,Association for Biblical Higher Education,-1.5849103585657371,-0.6309505106048704,0.3929,Non-MSI
J. F. Drake State Community and Technical College,Huntsville,AL,35811,Southern Association of Colleges and Schools Commission on Colleges,-0.20557609964966914,-4.864378698224852,0.4644,HBCU
J F Ingram State Technical College,Deatsville,AL,36022,,-1.7795235965108478,-0.561948153967007,0.27,Non-MSI
Jacksonville State University,Jacksonville,AL,36265,Southern Association of Colleges and Schools Commission on Colleges,0.08725457478168976,11.460717131474103,0.4386,Non-MSI
Jefferson State Community College,Birmingham,AL,35215-3098,Southern Association of Colleges and Schools Commission on Colleges,0.06721344949632453,14.877974683544304,0.296,Non-MSI
John C Calhoun State Community College,Tanner,AL,35671,Southern Association of Colleges and Schools Commission on Colleges,0.014317348808796579,69.84533333333333,0.2945,Non-MSI
Lawson State Community College,Birmingham,AL,35221-1717,Southern Association of Colleges and Schools Commission on Colleges,-0.33999219156689225,-2.941244019138756,0.5624,HBCU
University of West Alabama,Livingston,AL,35470,Southern Association of Colleges and Schools Commission on Colleges,0.1530594031129516,6.533411078717201,0.4556,PBI
Lurleen B Wallace Community College,Andalusia,AL,36420-1224,Southern Association of Colleges and Schools Commission on Colleges,0.014622326203208556,68.38857142857142,0.375,Non-MSI
Marion Military Institute,Marion,AL,36756-3207,Southern Association of Colleges and Schools Commission on Colleges,0.46863593701115863,2.1338525730180806,0.4076,Non-MSI
Miles College,Fairfield,AL,35064-2621,Southern Association of Colleges and Schools Commission on Colleges,-0.04383814767327853,-22.811182795698922,0.7447,HBCU
University of Mobile,Mobile,AL,36613-2842,Southern Association of Colleges and Schools Commission on Colleges,0.09320264627731685,10.72930909090909,0.283,Non-MSI
University of Montevallo,Montevallo,AL,35115-6000,Southern Association of Colleges and Schools Commission on Colleges,0.062230697566088275,16.06923976608187,0.4167,Non-MSI
Northwest Shoals Community College,Muscle Shoals,AL,35661,Southern Association of Colleges and Schools Commission on Colleges,-0.10420902806018707,-9.59609756097561,0.3278,Non-MSI
University of North Alabama,Florence,AL,35632-0001,Southern Association of Colleges and Schools Commission on Colleges,0.2606393084449511,3.8367198177676536,0.2919,Non-MSI
Northeast Alabama Community College,Rainsville,AL,35986,Southern Association of Colleges and Schools Commission on Colleges,-0.022661348803480783,-44.128,0.3921,Non-MSI
Oakwood University,Huntsville,AL,35896,Southern Association of Colleges and Schools Commission on Colleges,0.07079904500660368,14.124484304932734,0.4896,HBCU
Reid State Technical College,Evergreen,AL,36401,Council on Occupational Education,-0.7841760299625468,-1.275223880597015,0.5294,Non-MSI
Bishop State Community College,Mobile,AL,36603-5898,Southern Association of Colleges and Schools Commission on Colleges,-0.4228646833013436,-2.364822695035461,0.4942,HBCU
Samford University,Birmingham,AL,35229-2240,Southern Association of Colleges and Schools Commission on Colleges,0.22789110104597737,4.388060768543342,0.1051,Non-MSI
Selma University,Selma,AL,36701,,,,,HBCU
Shelton State Community College,Tuscaloosa,AL,35405-8522,Southern Association of Colleges and Schools Commission on Colleges,-0.020726129216695255,-48.248275862068965,0.3365,HBCU
Snead State Community College,Boaz,AL,35957-0734,Southern Association of Colleges and Schools Commission on Colleges,-0.039165854337835954,-25.532444444444447,0.3808,Non-MSI
University of South Alabama,Mobile,AL,36688-0002,Southern Association of Colleges and Schools Commission on Colleges,0.22394867500149548,4.4653088480801335,0.3853,Non-MSI
Spring Hill College,Mobile,AL,36608-1780,Southern Association of Colleges and Schools Commission on Colleges,0.25033420741426293,3.9946598202824135,0.3531,Non-MSI
Stillman College,Tuscaloosa,AL,35401,Southern Association of Colleges and Schools Commission on Colleges,0.02914205781784271,34.31466666666667,0.6989,HBCU
Talladega College,Talladega,AL,35160,Southern Association of Colleges and Schools Commission on Colleges,-0.15091788543570994,-6.626119873817034,0.7033,HBCU
H Councill Trenholm State Community College,Montgomery,AL,36108-3199,Southern Association of Colleges and Schools Commission on Colleges,-0.14490831944233976,-6.900915032679738,0.5832,HBCU
Troy University,Troy,AL,36082-0001,Southern Association of Colleges and Schools Commission on Colleges,0.154562724970004,6.469865229110511,0.4229,Non-MSI
Tuskegee University,Tuskegee,AL,36088-1920,Southern Association of Colleges and Schools Commission on Colleges,0.08030931665479767,12.451855421686746,0.5723,HBCU
United States Sports Academy,Daphne,AL,36526-7055,Southern Association of Colleges and Schools Commission on Colleges,,,0.5429,Non-MSI
Bevill State Community College,Jasper,AL,35501,Southern Association of Colleges and Schools Commission on Colleges,-0.01751167444963309,-57.1047619047619,0.3385,Non-MSI
Southern Union State Community College,Wadley,AL,36276,Southern Association of Colleges and Schools Commission on Colleges,0.09261877828054299,10.796946564885495,0.3425,Non-MSI
Remington College-Mobile Campus,Mobile,AL,36609,Accrediting Commission of Career Schools and Colleges,-0.03650529204233634,-27.393288590604026,0.6881,Non-MSI
Fortis College,Mobile,AL,36608,Accrediting Bureau of Health Education Schools,-0.09659533472717582,-10.352466843501327,0.7448,Non-MSI
Paul Mitchell the School-Huntsville,Madison,AL,35758,National Accrediting Commission of Career Arts and Sciences,-0.45934126205184456,-2.177030636292223,0.5075,Non-MSI
Fortis College-Foley,Foley,AL,36535,Accrediting Bureau of Health Education Schools,-0.12214171762829035,-8.18721088435374,0.7117,Non-MSI
Blue Cliff Career College,Mobile,AL,36606,Accrediting Commission of Career Schools and Colleges,-0.07606735784660956,-13.146243386243388,0.8095,Non-MSI
Huntsville Bible College,Huntsville,AL,35811,Association for Biblical Higher Education,-0.6724917589383822,-1.48700706991359,0.443,Non-MSI
Strayer University-Alabama,Birmingham,AL,35203,,,,0.7761,Non-MSI
Columbia Southern University,Orange Beach,AL,36561-9000,Southern Association of Colleges and Schools Commission on Colleges,-0.6433972181788775,-1.5542498036135115,0.2026,Non-MSI
Paul Mitchell the School-Birmingham,Hoover,AL,35216,National Accrediting Commission of Career Arts and Sciences,-0.780100990293166,-1.281885310290652,0.5481,Non-MSI
Fortis College-Dothan,Dothan,AL,36303,Accrediting Bureau of Health Education Schools,-0.17589342693044033,-5.685260770975057,0.8056,Non-MSI
Fortis College-Montgomery,Montgomery,AL,36109,Accrediting Bureau of Health Education Schools,-0.11009485094850949,-9.083076923076923,0.7943,Non-MSI
Fortis Institute-Birmingham,Birmingham,AL,35211,Accrediting Bureau of Health Education Schools,-0.030177274970042998,-33.13751824817518,0.75,Non-MSI
Cardiac and Vascular Institute of Ultrasound,Mobile,AL,36606,Accrediting Bureau of Health Education Schools,,,0.2593,Non-MSI
University Academy of Hair Design,Tuscaloosa,AL,35401-5621,National Accrediting Commission of Career Arts and Sciences,-0.7360764177999815,-1.3585545954438336,0.4625,Non-MSI
The Salon Professional Academy-Huntsville,Huntsville,AL,35816,National Accrediting Commission of Career Arts and Sciences,-0.4455535644285154,-2.2443990573448547,0.5053,Non-MSI
Alabama College of Osteopathic Medicine,Dothan,AL,36303-2251,American Osteopathic Association,,,,Non-MSI
Ross Medical Education Center-Huntsville,Huntsville,AL,35806-2509,Accrediting Bureau of Health Education Schools,-0.13040881337934696,-7.668193384223919,0.8311,Non-MSI
Midfield Institute of Cosmetology,Midfield,AL,35228-2233,National Accrediting Commission of Career Arts and Sciences,-1.202032029007403,-0.831924587588374,0.5833,Non-MSI
Alabama School of Nail Technology & Cosmetology,Jackson,AL,36545-2718,National Accrediting Commission of Career Arts and Sciences,-0.366901083698409,-2.725530243519246,0.5254,Non-MSI
Brown Beauty Barber School,Bessemer,AL,35020-5016,National Accrediting Commission of Career Arts and Sciences,-0.4625188931519591,-2.162073841319717,0.6761,Non-MSI
Winonah's International School of Cosmetology,Hoover,AL,35244-7310,National Accrediting Commission of Career Arts and Sciences,-0.5295341098169717,-1.8884524744697566,0.4887,Non-MSI
Troy University-Phenix City Campus,Phenix City,AL,368694419,Southern Association of Colleges and Schools Commission on Colleges,,,,Non-MSI
Troy University-Montgomery Campus,Montgomery,AL,361034419,Southern Association of Colleges and Schools Commission on Colleges,,,,Non-MSI
Troy University-Dothan Campus,Dothan,AL,363034419,Southern Association of Colleges and Schools Commission on Colleges,,,,Non-MSI
Troy University-Online,Troy,AL,360825327,Southern Association of Colleges and Schools Commission on Colleges,,,,Non-MSI
Columbia College - Redstone Arsenal,Redstone Arsenal,AL,358985192,Higher Learning Commission,,,,Non-MSI
Strayer University-Huntsville Campus,Huntsville,AL,35805,,,,,Non-MSI
Strayer University - Montgomery Campus,Montgomery,AL,361043529,,,,,Non-MSI
University of Alaska Anchorage,Anchorage,AK,99508,Northwest Commission on Colleges and Universities,0.2879395153944252,3.472951597595698,0.193,Non-MSI
Alaska Bible College,Palmer,AK,99645,Association for Biblical Higher Education,-0.5951469498641639,-1.6802572881004254,0.5227,Non-MSI
University of Alaska Fairbanks,Fairbanks,AK,99775,Northwest Commission on Colleges and Universities,0.1918161566420448,5.213325183374083,0.2156,ANNHI
University of Alaska Southeast,Juneau,AK,99801-8697,Northwest Commission on Colleges and Universities,0.03344671201814059,29.89830508474576,0.1571,ANNHI
Alaska Pacific University,Anchorage,AK,99508,Northwest Commission on Colleges and Universities,0.07787169183871415,12.841637010676157,0.3787,ANNHI
Alaska Vocational Technical Center,Seward,AK,99664-0889,Council on Occupational Education,0.10777233782129743,9.278818852924475,0.0471,Non-MSI
Charter College,Anchorage,AK,99508-4103,Accrediting Bureau of Health Education Schools,0.08350010645092612,11.976032636409995,0.4971,Non-MSI
Alaska Career College,Anchorage,AK,99507-1033,Accrediting Commission of Career Schools and Colleges,-0.0904675166970249,-11.053691275167786,0.6287,Non-MSI
Ilisagvik College,Barrow,AK,99723,Northwest Commission on Colleges and Universities,-0.7030121800014587,-1.422450461666148,0.1194,ANNHI
Alaska Christian College,Soldotna,AK,99669,Association for Biblical Higher Education,-2.2626760563380284,-0.4419545596016184,0.8205,ANNHI
Empire Beauty School-Tucson,Tucson,AZ,85716,National Accrediting Commission of Career Arts and Sciences,-0.13204918529287055,-7.572935779816515,0.5489,Non-MSI
Carrington College-Phoenix North,Phoenix,AZ,85051-4063,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,-0.05563770794824399,-17.973421926910298,0.5352,Non-MSI
Carrington College-Mesa,Mesa,AZ,85210-5005,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,-0.037348620210442725,-26.774750830564784,0.4748,Non-MSI
Carrington College-Tucson,Tucson,AZ,85745-2974,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,-0.0542498738375027,-18.433222591362128,0.5467,Non-MSI
Arizona Academy of Beauty,Tucson,AZ,85712,National Accrediting Commission of Career Arts and Sciences,-0.24025324891702765,-4.162274618585299,0.6111,Non-MSI
Miller-Motte College-Arizona Automotive Institute,Glendale,AZ,85301-3579,Accrediting Commission of Career Schools and Colleges,-0.05603957795192855,-17.84453125,0.7083,Non-MSI
Brookline College-Phoenix,Phoenix,AZ,85021,Accrediting Bureau of Health Education Schools,-0.06295130531383077,-15.88529411764706,0.4678,Non-MSI
Arizona State University Campus Immersion,Tempe,AZ,85287,Higher Learning Commission,0.4345790746664586,2.3010771992818673,0.3124,HSI
Arizona Western College,Yuma,AZ,85365-8834,Higher Learning Commission,-0.029022742411266532,-34.455737704918036,0.3748,HSI
University of Arizona,Tucson,AZ,85721-0066,Western Association of Schools and Colleges Senior Colleges and University Commission,0.3868623055498947,2.584899034240562,0.2781,HSI
Central Arizona College,Coolidge,AZ,85128-9030,Higher Learning Commission,-0.06163990825688073,-16.22325581395349,0.2388,HSI
Charles of Italy Beauty College,Lake Havasu City,AZ,86403,National Accrediting Commission of Career Arts and Sciences,-0.21913172664245625,-4.56346516007533,0.59,Non-MSI
Cochise County Community College District,Sierra Vista,AZ,85635-2317,Higher Learning Commission,0.039307031591206874,25.44074074074074,0.4071,HSI
Empire Beauty School-Chandler,Chandler,AZ,85224,National Accrediting Commission of Career Arts and Sciences,-0.17228671457527178,-5.8042780748663105,0.6849,Non-MSI
Avalon Institute-Mesa,Mesa,AZ,85210,National Accrediting Commission of Career Arts and Sciences,-0.14728771545512193,-6.789432485322896,0.4837,Non-MSI
Eastern Arizona College,Thatcher,AZ,85552-0769,Higher Learning Commission,0.07345971563981042,13.612903225806452,0.1922,HSI
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,86301-3720,Southern Association of Colleges and Schools Commission on Colleges,0.24851214412095865,4.023948220064725,0.178,Non-MSI
The School of Architecture,Scottsdale,AZ,85250,Higher Learning Commission,,,,Non-MSI
Glendale Community College,Glendale,AZ,85302,Higher Learning Commission,0.118735976065819,8.422047244094488,0.2738,HSI
Grand Canyon University,Phoenix,AZ,85017,Higher Learning Commission,0.28993485640884487,3.4490506329113924,0.4254,Non-MSI
GateWay Community College,Phoenix,AZ,85034,Higher Learning Commission,0.11758483196354463,8.504498269896194,0.2912,HSI
Mesa Community College,Mesa,AZ,85202,Higher Learning Commission,0.17199833818030744,5.814009661835748,0.207,HSI
Mohave Community College,Kingman,AZ,86409-1238,Higher Learning Commission,-0.014347202295552367,-69.7,0.3359,HSI
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Avondale,AZ,85323,Accrediting Commission of Career Schools and Colleges,0.09846312920054519,10.156085918854416,0.4544,Non-MSI
Dine College,Tsaile,AZ,86556,Higher Learning Commission,-0.2195689115463733,-4.554378818737271,0.4464,TRIBAL
Northern Arizona University,Flagstaff,AZ,86011-4092,Higher Learning Commission,0.18315843687632782,5.4597539543058,0.3139,HSI
Northland Pioneer College,Holbrook,AZ,86025-0610,Higher Learning Commission,-0.04582338902147971,-21.822916666666668,0.0915,NANTI
Phoenix College,Phoenix,AZ,85013,Higher Learning Commission,0.06314737415954934,15.835971223021582,0.3008,HSI
Pima Community College,Tucson,AZ,85709-1275,Higher Learning Commission,0.12447552447552447,8.03370786516854,0.1952,HSI
Pima Medical Institute-Tucson,Tucson,AZ,85712,Accrediting Bureau of Health Education Schools,,,0.5126,Non-MSI
Prescott College,Prescott,AZ,86301,Higher Learning Commission,0.010815574427175132,92.45925925925927,0.451,Non-MSI
Refrigeration School Inc,Phoenix,AZ,85034-1816,Accrediting Commission of Career Schools and Colleges,0.11846339501206758,8.441426146010187,0.5771,Non-MSI
Rio Salado College,Tempe,AZ,85281,Higher Learning Commission,0.3452720119386786,2.8962671905697444,0.0768,HSI
Roberto-Venn School of Luthiery,Phoenix,AZ,85007,Accrediting Commission of Career Schools and Colleges,-0.03967060239151688,-25.207582938388626,0.1724,Non-MSI
Scottsdale Community College,Scottsdale,AZ,85256,Higher Learning Commission,0.17578420972874678,5.688793103448276,0.1384,HSI
South Mountain Community College,Phoenix,AZ,85042,Higher Learning Commission,0.004097614277909306,244.04444444444445,0.3002,HSI
Arizona Christian University,Glendale,AZ,85306-3216,Higher Learning Commission,0.014475770317777624,69.08095238095238,0.361,HSI
Universal Technical Institute of Arizona Inc,Avondale,AZ,85323,Accrediting Commission of Career Schools and Colleges,0.14796547472256474,6.758333333333333,0.4604,Non-MSI
Yavapai College,Prescott,AZ,86301,Higher Learning Commission,0.034617432984200246,28.88717948717949,0.1991,Non-MSI
Bryan University,Tempe,AZ,85281,Accrediting Commission of Career Schools and Colleges,0.038910505836575876,25.7,0.7274,Non-MSI
GateWay Community College-Central City,Phoenix,AZ,85034-4101,Higher Learning Commission,0.12715593101020767,7.864359861591696,0.206,Non-MSI
Pima Medical Institute-Mesa,Mesa,AZ,85202,Accrediting Bureau of Health Education Schools,-0.025824002523261315,-38.72366412213741,0.4668,Non-MSI
Conservatory of Recording Arts and Sciences,Tempe,AZ,85282-1707,Accrediting Commission of Career Schools and Colleges,0.11955273798232915,8.364509394572025,0.3394,Non-MSI
University of Advancing Technology,Tempe,AZ,85283,Higher Learning Commission,0.30934088152042055,3.2326797385620916,0.5682,Non-MSI
Paradise Valley Community College,Phoenix,AZ,85032,Higher Learning Commission,0.16276158111250225,6.1439560439560434,0.1839,Non-MSI
Chandler-Gilbert Community College,Chandler,AZ,85225-2499,Higher Learning Commission,0.25141897833559834,3.977424483306837,0.1216,HSI
Phoenix Seminary,Scottsdale,AZ,85260,Higher Learning Commission,,,,Non-MSI
Estrella Mountain Community College,Avondale,AZ,85392-1000,Higher Learning Commission,0.10115606936416185,9.885714285714284,0.2787,HSI
Brookline College-Tempe,Tempe,AZ,85281,Accrediting Bureau of Health Education Schools,-0.09114234289434381,-10.9718487394958,0.5633,Non-MSI
Coconino Community College,Flagstaff,AZ,86005-2701,Higher Learning Commission,-0.02168920643021179,-46.10588235294118,0.1796,NANTI
Sonoran University of Health Sciences,Tempe,AZ,85282,Higher Learning Commission,,,,Non-MSI
Arizona College of Nursing-Tempe,Tempe,AZ,85282-1840,Accrediting Bureau of Health Education Schools,-0.0534583307205117,-18.706158357771262,0.4333,Non-MSI
Midwestern University-Glendale,Glendale,AZ,85308,Higher Learning Commission,,,,Non-MSI
International Baptist College and Seminary,Chandler,AZ,85286,Transnational Association of Christian Colleges and Schools,-0.5191598424704632,-1.926189042745334,0.3913,Non-MSI
Brookline College-Tucson,Tucson,AZ,85711,Accrediting Bureau of Health Education Schools,-0.1050494350282486,-9.519327731092437,0.6992,Non-MSI
HDS Truck Driving Institute,Tucson,AZ,85756,Accrediting Commission of Career Schools and Colleges,,,0.0671,Non-MSI
East Valley Institute of Technology,Mesa,AZ,85201,Council on Occupational Education,,,0.2765,Non-MSI
Tohono O'odham Community College,Sells,AZ,85634-3129,Higher Learning Commission,-35.797413793103445,-0.027934978928356415,0.295,TRIBAL
Southwest Institute of Healing Arts,Tempe,AZ,85282,Accrediting Council for Continuing Education & Training,-0.006154879140555058,-162.47272727272727,0.3772,Non-MSI
Turning Point Beauty College,Chandler,AZ,85225-4775,National Accrediting Commission of Career Arts and Sciences,-0.6068244921817916,-1.6479229379891633,0.5583,Non-MSI
American InterContinental University System,Chandler,AZ,85286,Higher Learning Commission,0.21350156829198746,4.683806343906511,0.7042,Non-MSI
Arizona School of Acupuncture and Oriental Medicine,Tucson,AZ,85716-1518,Accrediting Commission for Acupuncture and Oriental Medicine,,,,Non-MSI
Empire Beauty School-Avondale,Avondale,AZ,85323,National Accrediting Commission of Career Arts and Sciences,-0.18259129564782392,-5.476712328767123,0.5614,Non-MSI
Phoenix Institute of Herbal Medicine & Acupuncture,Phoenix,AZ,85012,Accrediting Commission for Acupuncture and Oriental Medicine,,,,Non-MSI
Tucson College of Beauty,Tucson,AZ,85705,National Accrediting Commission of Career Arts and Sciences,-0.4602127895378477,-2.1729078868151714,0.4821,Non-MSI
Arizona Culinary Institute,Scottsdale,AZ,85259,Accrediting Commission of Career Schools and Colleges,-0.23161446858354018,-4.3175195665261885,0.276,Non-MSI
Chamberlain University-Arizona,Phoenix,AZ,85021,Higher Learning Commission,0.1873397480080505,5.337895511405446,0.4166,Non-MSI
Aspen University,Phoenix,AZ,85040,Distance Education Accrediting Commission,-0.5575696542463914,-1.7934978928356413,0.1977,Non-MSI
Studio Academy of Beauty,Chandler,AZ,85224,National Accrediting Commission of Career Arts and Sciences,-0.44996478300915643,-2.222396146899458,0.6002,Non-MSI
Pima Medical Institute-East Valley,Mesa,AZ,85209,Accrediting Bureau of Health Education Schools,-0.034189372585864915,-29.24885496183206,0.2986,Non-MSI
Paul Mitchell the School-Phoenix,Phoenix,AZ,85017,National Accrediting Commission of Career Arts and Sciences,-0.435797869549247,-2.2946417820590006,0.482,Non-MSI
Penrose Academy,Scottsdale,AZ,85254-4065,Council on Occupational Education,-0.4840589846709798,-2.065863937387116,0.318,Non-MSI
National Paralegal College,Phoenix,AZ,85014-1561,Distance Education Accrediting Commission,-0.5803228285933897,-1.7231788079470198,0.4249,Non-MSI
Pure Aesthetics Natural Skincare School,Tucson,AZ,85716-3823,Accrediting Council for Continuing Education & Training,-0.4653703911240614,-2.1488260084286575,0.5114,Non-MSI
Ottawa University-Surprise,Surprise,AZ,85374,Higher Learning Commission,0.10563080330522191,9.466935483870968,0.4312,HSI
Allen School-Phoenix,Phoenix,AZ,85053-4064,Council on Occupational Education,-0.020880881853056865,-47.890697674418604,0.7117,Non-MSI
Avalon Institute-Phoenix,Phoenix,AZ,85022,National Accrediting Commission of Career Arts and Sciences,-0.1453521447263625,-6.879843444227006,0.4831,Non-MSI
Sessions College for Professional Design,Tempe,AZ,85281,Distance Education Accrediting Commission,-0.5058780532374977,-1.976760987357014,0.3308,Non-MSI
Aveda Institute-Tucson,Tucson,AZ,85701,National Accrediting Commission of Career Arts and Sciences,-0.547462096242584,-1.8266104756170982,0.2344,Non-MSI
International School of Cosmetology,Scottsdale,AZ,85250,,-0.4770520994887702,-2.096207104154124,0.4314,Non-MSI
DeVry University-Arizona,Phoenix,AZ,85021,Higher Learning Commission,0.13790653360462488,7.251288056206089,0.466,Non-MSI
Arizona College-Mesa,Mesa,AZ,85201,Accrediting Bureau of Health Education Schools,-0.0605726872246696,-16.509090909090908,0.7011,Non-MSI
Arizona State University Digital Immersion,Scottsdale,AZ,85257,Higher Learning Commission,,,0.3762,Non-MSI
Arizona School of Integrative Studies,Mesa,AZ,85201,Commission on Massage Therapy Accreditation,-0.656573642185153,-1.5230583985550872,0.4075,Non-MSI
University of Phoenix-Arizona,Phoenix,AZ,85040,Higher Learning Commission,0.40065050266114727,2.495940959409594,0.4414,Non-MSI
Aveda Institute-Phoenix,Tempe,AZ,85284,National Accrediting Commission of Career Arts and Sciences,-0.4000674406281613,-2.499578567128236,0.4173,Non-MSI
Pima Medical Institute-Phoenix,Phoenix,AZ,85029-4929,Accrediting Bureau of Health Education Schools,-0.4146487592990164,-2.4116797110174595,0.4228,Non-MSI
UEI College-Phoenix,Phoenix,AZ,85021-2718,Accrediting Council for Continuing Education & Training,-0.04237405489240313,-23.59934640522876,0.7353,Non-MSI
Regional Center for Border Health,Somerton,AZ,85350,Accrediting Bureau of Health Education Schools,,,0.0,Non-MSI
Sonoran Desert Institute,Tempe,AZ,85281,Distance Education Accrediting Commission,-0.4626740947075209,-2.1613485851896446,0.2758,Non-MSI
Kor Beauty Academy,Peoria,AZ,85382-4958,,-0.7561686242374579,-1.3224563515954244,0.5,Non-MSI
Commercial Divers International,Goodyear,AZ,85338-3693,Council on Occupational Education,-0.2670160434684757,-3.745093317278748,0.2589,Non-MSI
International Barber College,Chandler,AZ,85226-3205,National Accrediting Commission of Career Arts and Sciences,-0.526900139576196,-1.8978928356411797,0.6333,Non-MSI
Xtylo Beauty College,Phoenix,AZ,85008-1303,National Accrediting Commission of Career Arts and Sciences,-0.5037302116819312,-1.9851896447922939,0.6494,Non-MSI
Western Maricopa Education Center,Glendale,AZ,85307,Council on Occupational Education,,,0.1945,Non-MSI
Indian Bible College,Flagstaff,AZ,86004-1919,Association for Biblical Higher Education,-1.6461843409316155,-0.6074653822998194,0.76,Non-MSI
Arizona College of Nursing-Tucson,Tucson,AZ,85711,Accrediting Bureau of Health Education Schools,-0.05394886723199595,-18.53607038123167,0.5706,Non-MSI
Arizona College of Nursing-Phoenix,Phoenix,AZ,85053-4058,Accrediting Bureau of Health Education Schools,-0.05118275696445725,-19.53782991202346,0.5048,Non-MSI
UEI College-Mesa,Mesa,AZ,85202,Accrediting Council for Continuing Education & Training,-0.048,-20.833333333333332,0.9379,Non-MSI
Arizona College-Glendale,Glendale,AZ,85302-3843,Accrediting Bureau of Health Education Schools,-0.06658595641646489,-15.018181818181818,0.7282,Non-MSI
Kino College,Tucson,AZ,85704-7802,Accrediting Bureau of Health Education Schools,-0.29066918661626767,-3.440337146297411,0.5625,Non-MSI
Pathways College-Arizona,Phoenix,AZ,85006,,,,,Non-MSI
Xtylo Beauty College,Tolleson,AZ,85353-0001,National Accrediting Commission of Career Arts and Sciences,-0.31447612556325494,-3.1798916315472607,0.0811,Non-MSI
National Tractor Trailer School,Phoenix,AZ,85043-7410,,,,0.0,Non-MSI
Arizona State University-West,Glendale,AZ,85306,Higher Learning Commission,,,,Non-MSI
Arizona State University-Polytechnic,Mesa,AZ,85212,Higher Learning Commission,,,,Non-MSI
Arizona State University-Downtown Phoenix,Phoenix,AZ,85004,Higher Learning Commission,,,,Non-MSI
Arizona State University - Tucson,Tucson,AZ,857454284,Higher Learning Commission,,,,Non-MSI
Arizona State University - Lake Havasu,Lake Havasu City,AZ,864036877,Higher Learning Commission,,,,Non-MSI
